;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart;;;Paul Secret;Calvin Smart
;54;968;3170;;54;989;3450;;54;3656;2889;;54;3747;3822;;54;6154;2941;;54;1601;5292
;55;987;2946;;55;1009;3142;;55;3505;3166;;55;3643;3989;;55;6075;3052;;55;1505;4699
;56;943;2720;;56;1046;3233;;56;3633;3180;;56;3906;3924;;56;5883;2886;;56;1339;4572
;57;982;3189;;57;1043;3037;;57;3550;3245;;57;3555;3983;;57;6180;2871;;57;1480;4971
;58;916;3101;;58;1136;3689;;58;3478;3212;;58;3636;4070;;58;5937;3001;;58;1741;5080
;59;869;3031;;59;971;2869;;59;3313;3340;;59;3601;4224;;59;6751;3077;;59;1434;5017
;60;1100;3213;;60;957;2808;;60;3477;3015;;60;3804;4151;;60;5637;2714;;60;1552;5080
;61;937;3014;;61;1011;3195;;61;3147;3171;;61;3201;3888;;61;6320;2964;;61;1625;5254
;62;1234;3205;;62;885;2980;;62;3392;3119;;62;3716;3626;;62;5846;2705;;62;1557;5006
;63;987;2601;;63;1018;3232;;63;3853;3336;;63;3419;3899;;63;5532;3100;;63;1390;4667
;64;1125;3315;;64;1023;3118;;64;3729;3530;;64;2960;3537;;64;5818;2942;;64;1341;4709
;65;997;2741;;65;968;3137;;65;3837;3255;;65;3332;4126;;65;6820;3211;;65;1606;5172
;66;941;2979;;66;949;3299;;66;3667;3758;;66;3431;3779;;66;6177;2925;;66;1210;4490
;67;970;2742;;67;993;2979;;67;3447;3146;;67;3377;3597;;67;6741;3081;;67;1517;5252
;68;998;3172;;68;995;3287;;68;3309;3110;;68;3446;3935;;68;5876;2855;;68;1492;5150
;69;940;3131;;69;974;3505;;69;3659;3115;;69;2992;3724;;69;6551;3155;;69;1521;4987
;70;1052;3158;;70;870;3258;;70;3832;3326;;70;4109;4557;;70;5499;2810;;70;1412;4644
;71;981;2965;;71;887;3346;;71;3807;3075;;71;3738;4351;;71;5926;3057;;71;1726;5686
;72;1112;3154;;72;1008;3420;;72;3291;3220;;72;2971;3669;;72;6738;3106;;72;1142;4201
;73;1043;3102;;73;925;3214;;73;3271;3067;;73;3690;4106;;73;5920;3147;;73;1376;4859
;74;1054;3000;;74;1080;3607;;74;3826;3490;;74;3528;4366;;74;5956;2993;;74;1636;5123
;75;1069;3030;;75;1017;3203;;75;3094;3003;;75;3461;3912;;75;5697;2933;;75;1674;5471
;76;787;2997;;76;1061;3204;;76;3590;2797;;76;3308;3718;;76;5748;3242;;76;1645;4995
;77;1237;3153;;77;1081;3266;;77;3455;3285;;77;3383;4364;;77;5478;2964;;77;1642;4905
;78;1019;3090;;78;841;2958;;78;3376;3087;;78;3315;4328;;78;6637;2824;;78;1547;5184
;79;982;2976;;79;799;2896;;79;3464;3238;;79;3885;4250;;79;5715;3161;;79;1617;5693
;80;911;3031;;80;946;3499;;80;3608;3416;;80;3586;3858;;80;6087;2977;;80;1483;5162
;81;889;2921;;81;903;3293;;81;3165;3210;;81;3078;4004;;81;5631;2894;;81;1490;4575
;82;991;3057;;82;1022;3285;;82;3552;3393;;82;3619;3953;;82;6077;2921;;82;1517;5145
;83;1016;3103;;83;1004;3406;;83;3654;3429;;83;3316;3610;;83;5880;2705;;83;1341;5207
;84;1076;3191;;84;1126;3483;;84;3581;3277;;84;3152;3837;;84;5861;3214;;84;1359;4888
;85;980;3481;;85;1049;3069;;85;3954;3360;;85;3732;3654;;85;5824;3473;;85;1407;4997
;86;1033;2850;;86;758;3337;;86;3512;2900;;86;3265;3731;;86;6370;2830;;86;1776;5071
;87;1132;3508;;87;1069;3409;;87;3411;3339;;87;3485;3904;;87;6230;3188;;87;1415;4868
;88;985;3014;;88;899;3166;;88;3226;3185;;88;4038;4536;;88;6590;3344;;88;1380;4502
;89;1057;3271;;89;1070;3270;;89;3616;3391;;89;3596;4271;;89;7273;3340;;89;1340;4834
;90;1015;3143;;90;838;2906;;90;3611;3271;;90;3807;3880;;90;6372;2975;;90;1518;4637
;91;949;2740;;91;982;3476;;91;3467;3413;;91;3311;3862;;91;6214;3067;;91;1484;4875
;92;1134;3069;;92;751;2882;;92;3585;3443;;92;3391;3934;;92;6145;3148;;92;1620;4776
;93;944;2993;;93;1151;3205;;93;3792;3472;;93;3369;3893;;93;5955;2932;;93;1385;4992
;94;1053;3106;;94;1124;3391;;94;3095;3250;;94;3506;3942;;94;5789;3377;;94;1429;4422
;95;1011;3057;;95;1058;3522;;95;3676;3355;;95;3106;3636;;95;5476;2691;;95;1598;4950
;96;1099;3221;;96;1138;3465;;96;3365;2976;;96;3530;4042;;96;6159;2839;;96;1510;5099
;97;1203;3351;;97;1147;3439;;97;3269;3297;;97;3433;4071;;97;5754;3272;;97;1670;5216
;98;910;3170;;98;857;3164;;98;3328;3285;;98;3129;4214;;98;6146;3245;;98;1351;5205
;99;1070;3109;;99;965;3167;;99;3438;2955;;99;3912;4299;;99;5303;2917;;99;1374;5460
;100;1132;3136;;100;1224;3585;;100;3596;2936;;100;3081;3394;;100;6123;2907;;100;1555;5237
;101;1042;2900;;101;917;2929;;101;3271;3131;;101;3771;4231;;101;5589;2649;;101;1751;4755
;102;1122;2841;;102;974;3365;;102;3261;2931;;102;3453;3796;;102;6163;3148;;102;1475;4894
;103;779;2778;;103;1008;2764;;103;3533;2975;;103;3437;3895;;103;5925;3182;;103;1509;5281
;104;830;2694;;104;1005;3261;;104;3519;3386;;104;3385;3744;;104;5818;2848;;104;1322;4642
;105;1089;2730;;105;994;3109;;105;3539;3434;;105;3490;4022;;105;6225;3234;;105;1595;5016
;106;873;2968;;106;1221;3518;;106;3222;2755;;106;3347;3685;;106;6183;2975;;106;1239;4411
;107;1020;3235;;107;959;3449;;107;3286;3230;;107;3611;3984;;107;5916;2643;;107;1476;5061
;108;996;2733;;108;864;3193;;108;3088;2998;;108;3111;3740;;108;6260;3041;;108;1328;4519
;109;1003;3134;;109;1025;3395;;109;3382;3155;;109;3183;3866;;109;6017;3133;;109;1715;5327
;110;1095;3276;;110;1057;3079;;110;3679;3062;;110;3084;3727;;110;5919;2982;;110;1443;5465
;111;1137;3309;;111;1109;3367;;111;3252;2970;;111;3366;4056;;111;6453;3106;;111;1580;4894
;112;1102;3307;;112;979;2942;;112;3374;2669;;112;3720;4404;;112;5227;2947;;112;1702;5346
;113;1122;2699;;113;834;3056;;113;3561;3177;;113;2995;3617;;113;6569;3327;;113;1362;4575
;114;951;2896;;114;1009;3244;;114;3658;3512;;114;3375;3581;;114;6228;2849;;114;1641;5602
;115;942;2866;;115;950;3469;;115;3386;2802;;115;3549;4101;;115;5968;3082;;115;1398;5063
;116;1031;3043;;116;909;3332;;116;3668;3444;;116;3234;3595;;116;6199;2971;;116;1633;4810
;117;1183;3088;;117;1057;3157;;117;3604;3507;;117;3663;3927;;117;5913;2848;;117;1623;5194
;118;894;3006;;118;768;2380;;118;3510;3073;;118;3519;3440;;118;5943;2843;;118;1263;4841
;119;876;2781;;119;980;3387;;119;3448;3139;;119;3859;3963;;119;5332;2854;;119;1394;4552
;120;965;2648;;120;1064;3132;;120;2947;2935;;120;3494;4085;;120;6483;3226;;120;1496;5229
;121;945;2909;;121;774;2973;;121;3465;3403;;121;3533;3696;;121;5528;2642;;121;1651;5054
;122;888;3033;;122;946;3152;;122;3613;3112;;122;3774;3876;;122;6151;2925;;122;1355;5196
;123;1002;2813;;123;1174;3385;;123;3105;2975;;123;3520;3691;;123;6006;3144;;123;1517;5024
;124;1002;3134;;124;850;3189;;124;3320;3031;;124;3618;4047;;124;6490;3194;;124;1744;5230
;125;1004;3391;;125;1034;3318;;125;3302;2992;;125;2933;3844;;125;5693;2899;;125;1660;5530
;126;961;2937;;126;895;3155;;126;3488;3269;;126;3342;4192;;126;5543;2944;;126;1133;4638
;127;987;2399;;127;853;3189;;127;3478;3078;;127;3490;4319;;127;6113;2973;;127;1540;5039
;128;939;3098;;128;946;3210;;128;3672;3170;;128;3347;3947;;128;5458;2913;;128;1449;4924
;129;1170;3393;;129;1219;3554;;129;3447;3224;;129;3484;3822;;129;5574;3234;;129;1434;5018
;130;977;3100;;130;1046;3368;;130;3289;3142;;130;3331;3946;;130;6266;3032;;130;1499;5100
;131;884;3058;;131;1203;3701;;131;3340;3076;;131;3595;4172;;131;6502;3208;;131;1626;4794
;132;1018;3167;;132;1156;3602;;132;3794;3268;;132;3817;3938;;132;6934;3217;;132;1396;5274
;133;1104;2998;;133;1097;3291;;133;3413;3374;;133;3984;4341;;133;5362;2895;;133;1501;5142
;134;1038;3050;;134;1012;3415;;134;3043;3049;;134;3547;4287;;134;5888;3403;;134;1637;4929
;135;958;3073;;135;1089;3181;;135;3500;3337;;135;3997;3969;;135;6546;2987;;135;1269;4570
;136;1174;3129;;136;937;2957;;136;3483;3101;;136;3599;4317;;136;6570;3178;;136;1623;5075
;137;1116;3129;;137;942;3115;;137;3412;2981;;137;3315;3926;;137;5928;2761;;137;1450;4823
;138;878;2847;;138;1000;3193;;138;3848;3443;;138;3342;3903;;138;7112;3542;;138;1335;4740
;139;1012;2684;;139;859;2884;;139;3260;3104;;139;3667;3899;;139;6475;3201;;139;1341;5000
;140;1097;2916;;140;1090;3222;;140;3653;3322;;140;3764;4235;;140;6260;3102;;140;1629;5003
;141;918;2855;;141;901;3208;;141;3796;3514;;141;3464;4188;;141;6168;3188;;141;1420;5315
;142;1079;2997;;142;1212;3202;;142;3405;3080;;142;3748;3997;;142;6185;3008;;142;1769;5327
;143;1021;3007;;143;852;3295;;143;2972;2961;;143;3347;3770;;143;5813;2984;;143;1520;5063
;144;1015;2999;;144;917;3154;;144;3425;3100;;144;2909;3618;;144;5737;2823;;144;1719;5200
;145;939;2776;;145;960;3140;;145;3608;3532;;145;3698;3916;;145;6389;3142;;145;1400;4612
;146;984;2964;;146;901;3121;;146;3349;3035;;146;3859;4469;;146;6391;3171;;146;1711;5294
;147;975;3114;;147;828;3116;;147;3699;3258;;147;3553;4229;;147;6593;3182;;147;1786;5646
;148;971;2990;;148;1050;3074;;148;3572;3273;;148;3603;4211;;148;5809;3061;;148;1433;5012
;149;1088;3064;;149;1107;3336;;149;3178;3540;;149;3596;4262;;149;4933;2563;;149;1229;4867
;150;989;2796;;150;1099;3348;;150;3247;3136;;150;3748;4013;;150;6048;2814;;150;1427;5325
;151;1007;3446;;151;839;3066;;151;3338;2869;;151;3557;4076;;151;6170;3102;;151;1483;4820
;152;880;2856;;152;1058;3127;;152;3736;3422;;152;3495;4032;;152;5999;2817;;152;1599;5022
;153;1113;2905;;153;975;3359;;153;3289;2906;;153;3379;4124;;153;5629;2758;;153;1494;4647
;154;945;3019;;154;860;2771;;154;3439;3339;;154;3653;4528;;154;6462;3356;;154;1531;5181
;155;989;3138;;155;1026;3151;;155;3408;3203;;155;3614;4355;;155;6392;3040;;155;1266;4389
;156;1092;3216;;156;913;3089;;156;3400;3187;;156;3573;4004;;156;5418;2697;;156;1423;4739
;157;1031;3292;;157;875;3129;;157;3719;3174;;157;3497;3645;;157;5814;3262;;157;1466;5089
;158;1248;3582;;158;1039;3024;;158;3212;3441;;158;3436;3571;;158;6392;3140;;158;1663;4824
;159;1035;3131;;159;1045;3143;;159;2981;2866;;159;3132;3978;;159;5903;3314;;159;1458;4652
;160;887;2877;;160;1001;3011;;160;2966;3067;;160;3292;3543;;160;5743;2772;;160;1530;4860
;161;928;2992;;161;897;3279;;161;3137;2945;;161;3641;4207;;161;5908;2934;;161;1347;4872
;162;951;3076;;162;1029;3278;;162;3790;3381;;162;3424;4148;;162;5753;3128;;162;1315;4630
;163;1114;3100;;163;1010;3249;;163;3391;3065;;163;3682;4155;;163;5476;2758;;163;1392;4689
;164;1053;2831;;164;903;2995;;164;3466;3266;;164;3676;4189;;164;5806;2954;;164;1382;4727
;165;1078;2925;;165;973;3224;;165;3288;3280;;165;3801;4267;;165;6381;3428;;165;1316;5076
;166;1116;3060;;166;1246;3199;;166;3314;3324;;166;3354;4657;;166;6304;2916;;166;1277;5085
;167;932;2805;;167;906;3189;;167;3217;3324;;167;3582;3869;;167;6571;3405;;167;1536;4916
;168;1038;3303;;168;1081;3184;;168;3660;3200;;168;3592;3792;;168;5820;2990;;168;1444;5166
;169;722;2643;;169;944;3234;;169;3518;3036;;169;4066;4273;;169;5751;2912;;169;1466;4961
;170;680;2554;;170;1117;3467;;170;3439;3256;;170;3349;4149;;170;6162;3275;;170;1522;5064
;171;1077;2887;;171;1179;3634;;171;3430;3265;;171;3662;4444;;171;5879;2594;;171;1344;4872
;172;999;2904;;172;935;3092;;172;3697;3352;;172;3717;4051;;172;5893;2985;;172;1371;5096
;173;994;2978;;173;822;2908;;173;3382;3496;;173;3754;4269;;173;5842;2980;;173;1451;4627
;174;976;2971;;174;995;3472;;174;3342;3493;;174;3209;3903;;174;6147;3096;;174;1354;4639
;175;934;3120;;175;856;2864;;175;3433;2949;;175;3855;4007;;175;5883;2901;;175;1270;4741
;176;1134;3178;;176;1077;2939;;176;3586;3773;;176;3443;4055;;176;5948;2925;;176;1570;5023
;177;1053;2942;;177;956;2899;;177;3200;2932;;177;3396;3661;;177;6120;2973;;177;1494;5589
;178;915;2874;;178;1032;3210;;178;3961;3493;;178;3398;3827;;178;6121;2956;;178;1720;5387
;179;994;3036;;179;813;2812;;179;3478;3079;;179;3625;4416;;179;6016;3205;;179;1421;4854
;180;919;2927;;180;840;2884;;180;3631;3092;;180;3230;3631;;180;5481;2666;;180;1414;5209
;181;1042;2867;;181;1033;3164;;181;3317;3331;;181;3579;3645;;181;5824;3060;;181;1319;4349
;182;911;2606;;182;1064;3388;;182;3782;3462;;182;3273;3905;;182;6456;3265;;182;1364;4971
;183;1044;2935;;183;1010;3171;;183;3658;3405;;183;3288;4174;;183;7325;3581;;183;1561;4865
;184;809;3170;;184;993;3143;;184;3182;2943;;184;3652;3786;;184;5836;3053;;184;1547;5298
;185;1061;3108;;185;907;3224;;185;3067;3342;;185;3712;3968;;185;6086;3182;;185;1589;5095
;186;964;3016;;186;959;2996;;186;3108;2955;;186;3192;3728;;186;5947;2964;;186;1460;5147
;187;1018;3179;;187;1167;3588;;187;3330;3265;;187;4058;4568;;187;5998;3193;;187;1255;4862
;188;1155;3351;;188;815;3026;;188;3703;2950;;188;3346;4224;;188;6027;3048;;188;1245;5004
;189;1066;3443;;189;856;3005;;189;3383;2976;;189;3471;3807;;189;7016;3491;;189;1447;5143
;190;952;2634;;190;1189;3135;;190;4107;3296;;190;3505;4329;;190;6033;2905;;190;1594;4973
;191;1054;3168;;191;795;3043;;191;3484;3354;;191;3006;3802;;191;5714;3175;;191;1394;4920
;192;872;2705;;192;865;2749;;192;3187;3132;;192;3355;4146;;192;6289;3182;;192;1481;4864
;193;1022;3127;;193;976;3269;;193;3570;3587;;193;3262;4183;;193;4985;2870;;193;1518;4902
;194;979;2981;;194;980;3073;;194;3362;3068;;194;3751;4448;;194;5582;3174;;194;1491;5142
;195;901;2827;;195;1040;3283;;195;3030;2774;;195;3730;4114;;195;6195;3023;;195;1319;4608
;196;1056;2674;;196;875;2599;;196;3617;3366;;196;3825;4174;;196;5152;2880;;196;1424;5173
;197;1010;2894;;197;1138;3103;;197;3373;2982;;197;3577;3961;;197;5578;3021;;197;1592;5155
;198;1002;2778;;198;1087;3210;;198;3162;3115;;198;3640;4209;;198;6049;3027;;198;1257;5122
;199;961;2606;;199;961;3276;;199;3696;3115;;199;3745;3673;;199;5669;2874;;199;1281;4754
;200;1167;2942;;200;897;3133;;200;3549;3329;;200;3649;4104;;200;5660;2942;;200;1679;5693
;201;928;2739;;201;998;3039;;201;3871;3337;;201;3362;3890;;201;6455;3024;;201;1624;5124
;202;1121;3043;;202;945;3075;;202;3001;3234;;202;3186;3892;;202;6199;3067;;202;1308;4947
;203;981;2914;;203;991;3185;;203;3065;2986;;203;3551;4054;;203;6120;2859;;203;1478;4744
;204;805;2595;;204;934;2946;;204;3534;2929;;204;3126;3914;;204;6180;2946;;204;1261;4848
;205;1115;3063;;205;1057;3551;;205;3609;3278;;205;3163;3776;;205;5836;3057;;205;1458;4844
;206;1147;2894;;206;1054;3637;;206;3490;2914;;206;3745;4592;;206;5726;2801;;206;1434;5100
;207;1101;3351;;207;862;3069;;207;3398;2938;;207;3664;3915;;207;6022;3254;;207;1433;5055
;208;713;2564;;208;1072;3164;;208;3937;3366;;208;3817;4317;;208;6112;2784;;208;1545;4961
;209;1042;2819;;209;903;3024;;209;3761;3372;;209;3441;3858;;209;5583;3198;;209;1520;5045
;210;851;3112;;210;736;2901;;210;3489;3022;;210;3250;4094;;210;5656;3076;;210;1693;5205
;211;1115;2916;;211;998;3267;;211;3516;3086;;211;3695;4145;;211;6202;3209;;211;1350;5208
;212;918;2944;;212;1047;3333;;212;3485;3036;;212;3731;3914;;212;5661;2852;;212;1501;4794
;213;1128;3407;;213;1037;3359;;213;3670;3105;;213;3459;3900;;213;6170;2953;;213;1533;4544
;214;999;2896;;214;1226;3192;;214;3388;2980;;214;3189;3970;;214;5936;3144;;214;1584;5296
;215;967;3014;;215;842;2939;;215;3621;3452;;215;3485;4076;;215;6383;3475;;215;1680;5103
;216;1162;3213;;216;1080;3417;;216;3339;3104;;216;3520;3578;;216;6257;2965;;216;1326;4866
;217;1042;3169;;217;984;3201;;217;3217;3250;;217;3325;3994;;217;5553;2737;;217;1319;4632
;218;1065;3229;;218;828;3099;;218;3415;3397;;218;3487;3880;;218;6490;3204;;218;1601;5144
;219;1111;3068;;219;957;3217;;219;3535;3322;;219;3883;4364;;219;5678;2880;;219;1274;4778
;220;1192;3117;;220;905;3130;;220;3380;2555;;220;3589;4027;;220;5190;2574;;220;1646;5508
;221;893;3130;;221;1069;2950;;221;3533;3097;;221;3480;3726;;221;6315;3097;;221;1725;5262
;222;1038;2737;;222;953;2916;;222;3524;3141;;222;3600;4303;;222;6360;3250;;222;1540;4638
;223;1011;2925;;223;1203;3371;;223;3678;3490;;223;3754;4316;;223;5943;2824;;223;1465;4779
;224;1029;2807;;224;889;2828;;224;3453;3570;;224;3304;3643;;224;6448;3039;;224;1845;5482
;225;1093;2888;;225;1071;3288;;225;3297;2979;;225;3585;3900;;225;5459;2976;;225;1417;5074
;226;1057;2867;;226;930;3362;;226;3501;3044;;226;3921;4436;;226;5979;3049;;226;1670;5017
;227;983;3151;;227;1008;3351;;227;3473;3093;;227;3154;3915;;227;5750;2944;;227;1552;5274
;228;994;3240;;228;871;2934;;228;3063;3259;;228;3566;3999;;228;5388;2780;;228;1403;4550
;229;1008;2819;;229;920;2914;;229;3465;3371;;229;3525;4289;;229;5799;3014;;229;1435;5139
;230;915;2890;;230;911;3181;;230;3046;2830;;230;3636;3797;;230;5899;3068;;230;1504;4805
;231;899;2956;;231;1025;3268;;231;3150;3004;;231;3619;4455;;231;5713;2866;;231;1467;4872
;232;1111;3193;;232;1157;3313;;232;3343;3472;;232;3154;3907;;232;6754;2947;;232;1360;4528
;233;987;2989;;233;863;2981;;233;3697;3041;;233;3012;3935;;233;6264;3180;;233;1547;4927
;234;1168;3047;;234;1013;3303;;234;3689;3345;;234;3544;3988;;234;5528;2777;;234;1525;5122
;235;1012;3185;;235;1136;3214;;235;4118;3680;;235;3407;3639;;235;6452;2990;;235;1359;4528
;236;1037;3157;;236;914;3055;;236;3335;3158;;236;3344;3674;;236;5891;3202;;236;1578;4825
;237;1137;2915;;237;869;2811;;237;3135;3117;;237;3291;3899;;237;5688;2828;;237;1389;5049
;238;937;2928;;238;956;3047;;238;3910;3454;;238;3347;4275;;238;6582;3130;;238;1507;5372
;239;771;2646;;239;1036;3574;;239;2839;3058;;239;3587;3862;;239;5149;3030;;239;1495;5186
;240;972;3106;;240;962;3057;;240;3462;3357;;240;3453;3775;;240;5843;3073;;240;1312;5112
;241;942;3129;;241;998;2988;;241;3487;3201;;241;3217;4125;;241;6665;2792;;241;1492;4717
;242;1008;2831;;242;950;3033;;242;3174;2762;;242;3466;3916;;242;5862;2978;;242;1589;5553
;243;1135;3276;;243;942;3343;;243;3574;3492;;243;3720;4006;;243;6342;3308;;243;1377;4627
;244;1208;3197;;244;1044;3648;;244;3447;3332;;244;3307;3899;;244;5707;2731;;244;1625;5093
;245;989;3229;;245;1102;3477;;245;3365;2984;;245;3625;4105;;245;6039;2979;;245;1603;4722
;246;1044;2964;;246;1012;3017;;246;3761;3602;;246;3715;3753;;246;5781;3223;;246;1430;5077
;247;1011;2907;;247;1067;3483;;247;2874;2721;;247;3544;3862;;247;5915;2657;;247;1553;5148
;248;839;2707;;248;1127;3205;;248;3101;3013;;248;4057;3507;;248;6037;3049;;248;1560;5590
;249;853;3159;;249;974;3174;;249;3542;3393;;249;3440;3735;;249;6012;3105;;249;1649;5073
;250;932;2781;;250;854;3241;;250;3346;3408;;250;3527;3888;;250;6198;3140;;250;1468;4802
;251;901;2657;;251;1043;3240;;251;3414;3369;;251;3267;3777;;251;5394;3071;;251;1426;4914
;252;929;2848;;252;1007;3128;;252;3379;2987;;252;3386;3852;;252;6281;3198;;252;1422;5602
;253;1000;2944;;253;905;3209;;253;3330;3175;;253;3354;4007;;253;6612;3080;;253;1571;5075
;254;973;2886;;254;873;2891;;254;3432;3000;;254;3286;4133;;254;6177;2772;;254;1335;4879
;255;1008;2867;;255;1040;3450;;255;3237;2846;;255;3670;4207;;255;6268;3123;;255;1477;4916
;256;1118;3332;;256;932;3009;;256;3411;3229;;256;3402;3888;;256;5997;2713;;256;1451;4639
;257;917;3062;;257;1242;3471;;257;3262;2997;;257;3372;4349;;257;6086;2902;;257;1556;5281
;258;981;3156;;258;896;3042;;258;3265;2922;;258;3287;3929;;258;6184;2792;;258;1343;4768
;259;996;2826;;259;976;3380;;259;3656;3308;;259;3380;4005;;259;6315;3129;;259;1401;5177
